0;1;2;3;4;5;6;7;8
Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa wszystkim pojazdom znajdującym się na skrzyżowaniu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_418_org.wmv;nie;Znaki informacyjne, kierunku
Zamierzasz jechać na wprost, a motocyklista chce skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_419_org.wmv;nie;Znaki poziome
Zamierzasz jechać na wprost, a kierujący pojazdem, jadącym z naprzeciwka, chce skręcić w lewo. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_419_org.wmv;nie;Sygnalizacja świetlna
Zostałeś właśnie wyprzedzony przez pojazd widoczny przed Tobą. Czy bezpośrednio po wyprzedzeniu wolno Ci zwiększyć prędkość?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D26_026org.jpg;nie;Pierwszeństwo przejazdu
Czy w tej sytuacji, wykonując manewr omijania, masz obowiązek zatrzymać się w razie potrzeby?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D24_AK110org.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w tej sytuacji, podczas omijania, masz obowiązek zachować szczególną ostrożność?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D24_AK120org.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy widoczna linia wskazuje miejsce obowiązkowego zatrzymania się przed wjazdem na skrzyżowanie?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_01_org.wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy widoczna linia wskazuje miejsce zatrzymania, które zapewnia Ci najlepszą widoczność na skrzyżowaniu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_01_org.wmv;nie;Szczególna ostrożność
Czy masz obowiązek zatrzymać się w wyznaczonym linią miejscu, nawet wtedy, gdy upewniłeś się, że drogą z pierwszeństwem przejazdu nie poruszają się inne pojazdy?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_01_org.wmv;nie;Warunki drogowe
Czy w miejscu wyznaczonym przez widoczną linię przystankową wolno zatrzymywać się pojazdom przewożącym dzieci do szkół i przedszkoli?;TAK;NIE;BRAK;Tak;D,D1;W4(23,54,80)org.wmv;nie;Prędkość, hamowanie, odstępy
Czy w tej sytuacji wolno Ci wjechać na pas ruchu przy prawej krawędzi jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_09_org.wmv;nie;Technika jazdy
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do jednego niebezpiecznego zakrętu w prawo?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_0345d8org.jpg;nie;Obowiązki kierującego, dokumenty
Czy w przedstawionej sytuacji jesteś ostrzegany o kilku niebezpiecznych zakrętach w lewo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1814D15org.jpg;nie;Awaria pojazdu, pierwsza pomoc
Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-3 zT-4org.jpg;nie;Inne
Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach, z których pierwszy jest w lewo?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-4 (5)org.jpg;nie;Znaki Ostrzegawcze
Czy w tej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania, na którym pierwszeństwo przejazdu nie jest określone przy pomocy znaków drogowych?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-5 (3)org.jpg;nie;Znaki nakazu i zakazu
 Czy w tej sytuacji należy rozpocząć hamowanie?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D24_20org.wmv;nie;Znaki informacyjne, kierunku
Czy w trakcie prowadzenia pojazdu, wraz z upływem czasu, poprawia się Twoja zdolność dostrzegania znaków i sygnałów drogowych?;TAK;NIE;BRAK;Nie;B;IMG_9599org.jpg;tak;Znaki poziome
Kierujesz pojazdem z prędkością 30 km/h. Czy w tej sytuacji powinieneś zatrzymać pojazd przed sygnalizatorem?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D18_07org.wmv;nie;Sygnalizacja świetlna
Czy gdy prowadzisz w stanie pobudzenia emocjonalnego, to maleje Twoja zdolność koncentracji uwagi?;TAK;NIE;BRAK;Tak;B;GND30__4_org.wmv;tak;Pierwszeństwo przejazdu
Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;513_D27KW_org.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;514_D27KW_org.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Zamierzasz jechać na wprost. Czy masz pierwszeństwo przed motocyklistą?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_419_org.wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy umieszczony na tablicy znak ostrzega Cię o miejscu na drodze, w którym występuje lub może występować niebezpieczeństwo?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;3436D15org.jpg;nie;Szczególna ostrożność
Czy w przedstawionej sytuacji masz obowiązek zachować szczególną ostrożność?;TAK;NIE;BRAK;Tak;A,B,C,D,A1,A2,B1,C1,D1;D20_0061org.jpg;nie;Warunki drogowe
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania z jednokierunkową drogą podporządkowaną?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-6eorg.jpg;nie;Prędkość, hamowanie, odstępy
Czy tabliczka umieszczona pod znakiem wskazuje rzeczywisty przebieg drogi z pierwszeństwem przejazdu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_4003org.jpg;nie;Technika jazdy
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do przejazdu kolejowego wyposażonego w zapory, lub w półzapory?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0876D18org.jpg;nie;Obowiązki kierującego, dokumenty
Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w zapory lub półzapory?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-10 (2)org.jpg;nie;Awaria pojazdu, pierwsza pomoc
Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w półzapory?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1070D18org.jpg;nie;Inne
Czy w przedstawionej sytuacji jesteś ostrzegany o poprzecznej nierówności jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9274d8org.jpg;nie;Znaki Ostrzegawcze
Czy w przedstawionej sytuacji jesteś ostrzegany o nierównościach na drodze, występujących na odcinku 1,2 km za znakiem?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9528d8org.jpg;nie;Znaki nakazu i zakazu
Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości jezdni zastosowanej w celu spowolnienia ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9274d8org.jpg;nie;Znaki informacyjne, kierunku
Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości na jezdni zastosowanej w celu spowolnienia ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_8384org.jpg;nie;Znaki poziome
Czy umieszczona pod znakiem ostrzegawczym widocznym na zdjęciu tabliczka, wskazuje jego odległość od miejsca niebezpiecznego?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_8384org.jpg;nie;Sygnalizacja świetlna
Czy w przedstawionej sytuacji jesteś ostrzegany o zwężeniu jezdni, które może powodować utrudnienia ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_0816d8org.jpg;nie;Pierwszeństwo przejazdu
Czy w przedstawionej sytuacji jesteś ostrzegany o wlocie drogi z prawej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_6630d8org.jpg;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w przedstawionej sytuacji należy spodziewać się utrudnień ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_7184_1org.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do wyznaczonego na drodze przejścia dla pieszych?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;843D15org.jpg;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w przedstawionej sytuacji jesteś ostrzegany o miejscu na drodze szczególnie często uczęszczanym przez dzieci lub o bliskości takiego miejsca?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;A-17 (2)org.jpg;nie;Szczególna ostrożność
Czy w przedstawionej sytuacji jesteś ostrzegany o możliwości napotkania na drodze zwierząt gospodarskich?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_1101d8org.jpg;nie;Warunki drogowe
Czy w przedstawionej sytuacji jesteś ostrzegany o możliwości napotkania na drodze dzikich zwierząt?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;JAZDA NOCĄorg.wmv;nie;Prędkość, hamowanie, odstępy
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do miejsca, w którym rozpoczyna się ruch dwukierunkowy?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1498D15org.jpg;nie;Technika jazdy
Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do stromego podjazdu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0805D14MMorg.jpg;nie;Obowiązki kierującego, dokumenty
Czy w przedstawionej sytuacji jesteś ostrzegany o miejscu, w którym rowerzyści wjeżdżają na jezdnię lub przez nią przejeżdżają?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0989D18org.jpg;nie;Awaria pojazdu, pierwsza pomoc
Czy w przedstawionej sytuacji jesteś ostrzegany o drodze pokrytej żwirem, który może być wyrzucany spod kół jadących pojazdów?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9333d8org.jpg;nie;Inne
Czy w przedstawionej sytuacji jesteś ostrzegany o skrzyżowaniu, na którym ruch jest kierowany za pomocą sygnalizacji świetlnej?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9157d8org.jpg;nie;Znaki Ostrzegawcze
Czy w przedstawionej sytuacji, wjeżdżając na pobocze, powinieneś zrobić to ostrożnie i znacznie zmniejszyć prędkość?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_1387d8org.jpg;nie;Znaki nakazu i zakazu
Czy na odcinku drogi za widocznym znakiem będziesz ostrzegany o każdym występującym na niej zakręcie?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_7630d8org.jpg;nie;Znaki informacyjne, kierunku
Czy w tej sytuacji czerwone punktowe elementy odblaskowe wyznaczają prawą krawędź jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9751org.jpg;nie;Znaki poziome
Czy w tej sytuacji, za linią złożoną z punktowych elementów odblaskowych barwy czerwonej znajduje się pas ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9757aorg.jpg;nie;Sygnalizacja świetlna
Czy w tej sytuacji, bezpośrednio za widoczną po prawej stronie drogi linią złożoną z punktowych elementów odblaskowych barwy białej jest pobocze?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9746org.jpg;nie;Pierwszeństwo przejazdu
Czy w tej sytuacji, umieszczone po prawej stronie jezdni punktowe elementy odblaskowe barwy białej informują Cię o krawędzi jezdni?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9746org.jpg;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w przedstawionej sytuacji masz obowiązek zachować odstęp nie mniejszy niż 1 metr od wyprzedzanego rowerzysty?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D17PWCz_1org.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy na tak oznakowanym skrzyżowaniu masz prawo wyprzedzać pojazdy poruszające się innymi pasami?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D29WCzorg.wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w tej sytuacji możesz wyprzedzać?;TAK;NIE;BRAK;Nie;B;D38WCz_2org.wmv;tak;Szczególna ostrożność
Czy w przedstawionej sytuacji zakaz wyrażony znakiem obowiązuje od miejsca jego ustawienia?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;526D21org.jpg;nie;Warunki drogowe
Czy umieszczona pod tym znakiem zakazu tabliczka określa długość odcinka jezdni, na którym zakaz ten obowiązuje?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1005D15org.jpg;nie;Prędkość, hamowanie, odstępy
Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;511_D27KW_org.wmv;nie;Technika jazdy
Zamierzasz kontynuować jazdę na wprost. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;518_D27KW_org.wmv;nie;Obowiązki kierującego, dokumenty
Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi, który nadjeżdża z lewej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_354org.wmv;nie;Awaria pojazdu, pierwsza pomoc
Czy w tej sytuacji masz pierwszeństwo przed pojazdem wjeżdżającym z lewej strony na pas ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_355org.wmv;nie;Inne
Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpienia pierwszeństwa pojazdowi, który nadjeżdża z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_352org.wmv;nie;Znaki Ostrzegawcze
Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa rowerzyście?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_253org.wmv;nie;Znaki nakazu i zakazu
Czy w tej sytuacji, jadąc na wprost, masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_357org.wmv;nie;Znaki informacyjne, kierunku
Czy w tej sytuacji należy zrezygnować z rozpoczęcia wyprzedzania?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D26_395org.jpg;nie;Znaki poziome
Czy w przedstawionej sytuacji w obszarze zabudowanym, masz obowiązek zmniejszyć prędkość, aby umożliwić kierującemu autobusem włączenie się do ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;705.D34KWorg.wmv;nie;Sygnalizacja świetlna
Skręcasz w lewo na najbliższym skrzyżowaniu. Czy masz pierwszeństwo przed nadjeżdżającym pojazdem?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;706.D34KWorg.wmv;nie;Pierwszeństwo przejazdu
Czy kierując autobusem komunikacji miejskiej na obszarze zabudowanym, powinieneś upewnić się, że wyjazd z zatoki nie spowoduje zagrożenia bezpieczeństwa ruchu drogowego?;TAK;NIE;BRAK;Tak;D,D1;717.D35KWorg.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy kierując autobusem komunikacji miejskiej poza obszarem zabudowanym masz pierwszeństwo podczas włączania się do ruchu z przystanku?;TAK;NIE;BRAK;Nie;D,D1;717.D35KWorg.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy w tej sytuacji, jadąc na wprost, jesteś włączającym się do ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D42_8org.wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;537.D28KW_org.wmv;nie;Szczególna ostrożność
Czy w tej sytuacji zachowanie pieszego wymaga, abyś użył sygnału dźwiękowego?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;538.D28KW_org.wmv;nie;Warunki drogowe
Zamierzasz skręcić w lewo. Czy w tej sytuacji masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;540.D28KW_org.wmv;nie;Prędkość, hamowanie, odstępy
Czy masz obowiązek ustąpić pierwszeństwa pojazdowi szynowemu, który wyjeżdża z pętli?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;544.D28KW_org.wmv;nie;Technika jazdy
Zamierzasz jechać na wprost, a kierujący tramwajem planuje skręcić w lewo. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;546.D28KW_org.wmv;nie;Obowiązki kierującego, dokumenty
